,Country,CO2 Emissions
0,United Kingdom,63457711.62705
1,Germany,61478963.1682
2,France,44206008.0806
3,TÃ¼rkiye,38379732.6849
4,Spain,34108765.6379
5,Italy,26037673.90345
6,Netherlands,25104389.11565
7,Belgium,13778699.22185
8,Portugal,10507396.463849999
9,Switzerland,10255999.9415
10,Greece,9210527.671600001
11,Canary Islands,7758754.04015
12,Poland,6709781.5288
13,Norway,6032904.527
14,Ireland,5908561.4747
15,Luxembourg,5674817.49935
16,Denmark,5257144.2771
17,Austria,5031009.6038
18,Sweden,4931044.7064
19,Finland,4171329.4446
20,Romania,3115795.94955
21,Cyprus,2004440.4007
22,Hungary,1977170.17785
23,Czechia,1911651.12475
24,Bulgaria,1736460.79055
25,Croatia,1169083.2443
26,Georgia,1162203.4644
27,Serbia,1051784.4807
28,Malta,920619.6529
29,Iceland,876813.6505
30,Latvia,876531.3636
31,Lithuania,853470.28755
32,Armenia,791983.25895
33,Albania,566816.52505
34,Estonia,469946.622
35,Kosovo,409522.54615
36,"Moldova, Republic Of",396819.5302
37,North Macedonia,298115.34105
38,Bosnia-Herzegovina,293216.6509
39,Slovakia,287801.6251
40,Montenegro,223420.56475
41,Slovenia,178072.5939
42,Monaco,1206.67305
43,Liechtenstein,1.0363
